inep_escola;codigo_escola;nome;latitude;longitude;cep;endereco;endereco_numero;endereco_complemento;bairro_codigo;bairro;telefone;fax;email;orgao_regional;regulamentacao;funcionamento_predio_escolar;funcionamento_templo;funcionamento_empresa;funcionamento_outras_escolas;funcionamento_galpao;funcionamento_outros;forma_ocupacao;agua_rede_publica;agua_poco_artesiano;agua_cacimba;agua_fonte;esgoto_rede_publica;esgoto_fossa;esgoto_inexistente;lixo_coleta_periodica;lixo_outra area;dependencia_diretoria;dependencia_professores;dependencia_secretaria;dependencia_laboratorio_informatica;dependencia_laboratorio_ciencias;dependencia_aee;dependencia_quadra_coberta;dependencia_quadra_descoberta;dependencia_cozinha;dependencia_biblioteca;dependencia_leitura;dependencia_parque_infantil;dependencia_bercario;dependencia_banheiro_fora;dependencia_banheiro_dentro;dependencia_banheiro_infantil;dependencia_banheiro_deficiencia;dependencia_vias_adequadas_deficiencia;dependencia_banheiro_chuveiro;dependencia_refeitorio;dependencia_despensa;dependencia_almoxarifado;dependencia_auditorio;dependencia_patio_coberto;dependencia_patio_descoberto;dependencia_alojamento_aluno;dependencia_alojamento_professor;dependencia_area_verde;dependencia_lavanderia;quantidade_salas_existentes;quantidade_salas_utilizadas_fora_e_dentro;equipamentos_televisao;equipamentos_videocassete;equipamentos_dvd;equipamentos_antena_parabolica;equipamentos_copiadora;equipamentos_retroprojetor;equipamentos_impressora;equipamentos_aparelho_som;equipamentos_projetor_multimidia;equipamentos_fax;equipamentos_maquina_fotografica;equipamentos_computadores;computadores_quantidade;computadores_qtd_administrativo;computadores_qtd_alunos;acesso_internet;banda_larga;total_funcionarios;brasil_alfabetizado;abre_finais_semana;modalidade_regular;modalidade_especial;modalidade_eja;regular_creche;regular_preescolar;regular_fundamental9;especial_fundamental9;especial_eja_fundamental;eja_fundamental;eja_projovem
26121786;1;ESCOLA MUNICIPAL REITOR JOAO ALFREDO;-8,064733012;-34,89548539;50070460;SENADOR JOSE HENRIQUE;160;;78;ILHA DO LEITE;33553804;34237321;CMRJA@HOTMAIL.COM;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;17;17;3;;1;;;;;;;;;1;28;9;19;1;1;123;0;0;1;0;1;0;0;1;0;0;1;0
26123550;2;ESCOLA MUNICIPAL DE TEJIPIO;-8,0864;-34,96858;50030230;TUTOIA;165;;892;TEJIPIO;33556897;32516769;EM.DETEJIPIO@EDUCARECIFE.COM;2;1;1;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;9;9;4;;1;;;1;2;;;;;1;13;4;9;1;1;69;0;1;1;0;1;0;0;1;0;0;1;1
26127369;3;ESCOLA MUNICIPAL ARRAIAL NOVO DO BOM JESUS;-8,058692214;-34,93191297;50640000;DO FORTE;1340;;701;TORROES;33554123;33554598;ESCOLAARRAIALNOVO@HOTMAIL.COM;2;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;11;11;3;;1;;;;1;;;;;1;22;7;15;1;1;95;1;1;1;0;1;0;0;1;0;0;1;0
26121255;4;ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO;-8,071751952;-34,90046267;50090590;CABO EUTROPIO;660;;43;ILHA JOANA BEZERRA;33553889;;COSTA.PORTO@YAHOO.COM.BR;2;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;16;16;4;;2;;;;1;;;;;1;20;6;14;1;1;77;1;1;1;0;1;0;0;1;0;0;1;0
26121077;5;ESCOLA MUNICIPAL SANTA MARIA;-8,021894015;-34,90872376;52210240;ACAIACA;70;;523;ALTO JOSE DO PINHO;33554549;;;1;1;1;0;0;0;0;0;3;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;13;13;1;;1;;;;1;;;;;1;12;3;9;0;;44;0;0;1;0;0;0;1;1;0;0;0;0
26118734;6;ESCOLA MUNICIPAL MONTEIRO LOBATO;-8,017866565;-34,87448089;52040365;JARDIM BRASILIA;S/N;LADO IMPAR;280;CAMPO GRANDE;33553990;34274349;;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14;14;2;;1;;;;;;;;;1;13;4;9;1;1;68;0;0;1;0;1;0;1;1;0;0;1;0
26128640;7;ESCOLA MUNICIPAL ANTONIO HERACLIO DO REGO;-8,019012712;-34,8891531;52120520;MANOEL SILVA;134;;337;AGUA FRIA;33554229;;;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;17;17;3;;3;;1;2;1;;;;;1;21;6;15;1;1;72;1;1;1;0;1;0;0;1;0;0;1;0
26128390;9;ESCOLA MUNICIPAL PAULO VI;-8,007535578;-34,904668;52131210;GUAIRA;200;;388;LINHA DO TIRO;33553965;33553964;ESCOLAPAULOSEXTO@HOTMAIL.COM;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;18;18;5;;2;;;1;5;;;;;1;22;7;15;1;1;106;0;1;1;0;1;0;0;1;0;0;1;0
26124556;10;ESCOLA MUNICIPAL MARIA SAMPAIO LUCENA;-8,120811474;-34,94671105;51280000;PERNAMBUCO;S/N;UR 01;230;IBURA;33556586;34755258;;2;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;12;12;2;;1;;;1;2;;;;;1;24;7;17;1;1;66;0;1;1;0;1;0;0;1;0;0;1;0
26126630;11;ESCOLA MUNICIPAL SAO CRISTOVAO;-7,993272203;-34,93534997;52291140;CASSITERITA;395;;612;BREJO DA GUABIRABA;33556012;;EM.SAOCRISTOVAO@BOL.COM.BR;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;12;12;4;;1;;1;1;3;;;;;1;23;7;16;1;1;80;0;1;1;0;1;0;0;1;0;0;1;0
